question_id,document_id,source_line_1,row_index,column_index,raw_value,review_note
319,MSN_financial_statements_2016_consolidated,1017,2,3,9.807.843,Giá trị ghi sổ theo phương pháp vốn chủ sở hữu của khoản đầu tư vào Techcombank cuối năm 2016
323,SSI_financial_statements_2016_separate,1355,11,1,76.038.454.529,Tổng cộng các khoản phải thu của công ty mẹ SSI cuối năm 2016
324,HBC_financial_statements_2024_separate,1197,4,1,80.864.684.721,Tổng dự phòng các khoản cho vay ngắn hạn cuối năm 2024
326,NVL_financial_statements_2019_consolidated,133,9,3,1.076.689.087.366,Tổng phải thu ngắn hạn của khách hàng cuối năm 2019 trên bảng cân đối kế toán hợp nhất
333,GEG_financial_statements_2022_consolidated,430,3,4,"62,53",Tỷ lệ sở hữu trên vốn thực góp Công ty Cổ phần Thủy điện Gia Lai cuối năm 2022
336,HND_financial_statements_2025,912,4,1,387.656.354.540,Tổng tiền thuê tối thiểu trong tương lai cuối năm 2025
340,PVT_financial_statements_2019_separate,174,12,4,36.320.271.261,Tổng giá trị hàng tồn kho cuối năm 2019 trên bảng cân đối kế toán riêng
343,VIF_financial_statements_2023_consolidated,1577,2,1,920.853.171.073,Chi phí nguyên liệu vật liệu năm 2023 trong bảng chi phí theo yếu tố
346,VPB_financial_statements_2020_consolidated,1258,23,1,290.816.086,Tổng dư nợ cho vay theo ngành nghề kinh doanh cuối năm 2020; đơn vị triệu VND
354,AAA_financial_statements_2021_separate,1058,3,7,1.401.195.977.583,Tổng vay ngân hàng ngắn hạn cuối năm 2021; không chọn khoản vay dài hạn riêng lẻ
357,PVT_financial_statements_2017_separate,215,20,3,2.814.401.620.000,Vốn góp của chủ sở hữu cuối năm 2017; không chọn tổng vốn chủ sở hữu
360,IJC_financial_statements_2025_separate,1774,3,1,6.295.806.400.000,Tổng vốn góp của chủ sở hữu cuối năm 2025
15,MPC_financial_statements_2021_separate,1299,2,1,150.000.000,Thù lao của bà Chu Thị Bình trong bảng Hội đồng Quản trị; không dùng bảng Ban Giám đốc
137,TTF_financial_statements_2023_separate,973,13,2,1.352.726.821.642,Tổng cộng người mua trả tiền trước đầu năm 2023 gồm cả ngắn hạn và dài hạn
